,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
55,Wandering whistling duck,Anseriformes,Anatidae,2.701,0.616,4.533,134286000.0,220818000.0,398626000.0,806.95,59.58526362232517,13.58923450253695,33.687215585536315,55.39478107298571,49717.14179933358,358470.7792207792,87938.67196117362,0.3347171448045108,0.0763368238428651,0.5617448416878369,166411.79750913935,273645.2072619121,493990.9535906809
56,Common blackbird,Passeriformes,Turdidae,1.091,0.213,1.887,136000000.0,186000000.0,379413000.0,103.2,57.81664016958135,11.287758346581876,35.84484453616508,49.023096203872825,124656.27864344638,873239.4366197183,201066.77265500795,1.0571705426356588,0.2063953488372093,1.828488372093023,1317829.457364341,1802325.5813953488,3676482.5581395347
57,Eurasian hoopoe,Bucerotiformes,Upupidae,0.8365,0.138,1.36,136377000.0,107450000.0,265520000.0,60.0,61.507352941176464,10.147058823529411,51.36223260018078,40.4677613739078,163032.87507471608,778623.1884057971,195235.29411764705,1.3941666666666666,0.23000000000000004,2.2666666666666666,2272950.0,1790833.3333333333,4425333.333333333
58,Wood duck,Anseriformes,Anatidae,2.26,0.4028,3.853,138206000.0,133108000.0,305816000.0,649.3,58.65559304438099,10.45419153906047,45.192534072775786,43.52551861249902,61153.097345132745,330456.8023833168,79370.87983389567,0.34806714923764054,0.06203603881102727,0.5934082858462961,212853.8425997228,205002.31018019406,470993.37748344376
59,Smew,Anseriformes,Anatidae,2.108,0.542,3.717,140265000.0,256227000.0,438961000.0,513.55,56.712402475114345,14.581651869787462,31.95386378288732,58.371244825850134,66539.37381404174,472743.54243542434,118095.50712940544,0.41047609775094934,0.10553986953558564,0.7237854152468115,273128.22509979556,498932.9179242528,854758.056664395
60,Red kite,Accipitriformes,Accipitridae,3.831,0.863,6.568,145561000.0,403410000.0,639483000.0,843.4,58.32825822168088,13.1394640682095,22.76229391555366,63.083772359859445,37995.562516314276,467450.7531865585,97363.4287454324,0.4542328669670382,0.10232392696229549,0.7787526677732985,172588.33293810766,478313.9672753142,758220.2987906095
61,Montagu's harrier,Accipitriformes,Accipitridae,2.218,0.644,4.361,148326000.0,348250000.0,577353000.0,243.0,50.8598945196056,14.767255216693421,25.690695293867012,60.31838407352175,66873.76014427411,540760.8695652174,132390.0481540931,0.9127572016460906,0.2650205761316872,1.7946502057613167,610395.061728395,1433127.5720164608,2375938.2716049384
62,Red-breasted goose,Anseriformes,Anatidae,2.7,0.7371,4.788,148617000.0,285407000.0,482705000.0,1042.3,56.390977443609025,15.39473684210526,30.788369708206876,59.126588703245254,55043.333333333336,387202.5505358839,100815.5806182122,0.25904250215868757,0.0707186030893217,0.4593687038280726,142585.62793821358,273824.234865202,463115.2259426269
63,Budgerigar,Psittaciformes,Psittaculidae,0.775,0.144,1.317,149000000.0,119000000.0,321822000.0,30.0,58.84586180713743,10.933940774487471,46.29888571943497,36.97696242021987,192258.06451612903,826388.8888888889,244359.90888382687,2.5833333333333335,0.48,4.390000000000001,4966666.666666667,3966666.6666666665,10727400.0
64,Mandarin duck,Anseriformes,Anatidae,2.244,0.432,3.763,149709000.0,168231000.0,354952000.0,529.045,59.63327132606964,11.480201966516077,42.17725213550001,47.395422479659224,66715.24064171124,389423.6111111111,94326.86686154664,0.4241605156461171,0.08165656985700649,0.7112816490090635,282979.7087204302,317989.96304662176,670929.6940713929
65,Cape Barren goose,Anseriformes,Anatidae,4.866,1.073,7.909,160216000.0,276278000.0,462304000.0,5204.75,61.52484511316222,13.566822607156404,34.65598394130269,59.76110957292171,32925.606247431155,257481.82665424046,58452.90175749147,0.09349152216725107,0.020615783659157498,0.15195734665449828,30782.6504635189,53081.89634468514,88823.47855324463
66,Crested duck,Anseriformes,Anatidae,2.857,0.666,4.935,160907000.0,312544000.0,517733000.0,823.6,57.89260385005067,13.495440729483285,31.079146973439975,60.36779575572737,56320.266013300665,469285.28528528527,104910.43566362716,0.34689169499757166,0.08086449732880038,0.5991986401165614,195370.32540067993,379485.1869839728,628621.903836814
67,Laughing kookaburra,Coraciiformes,Alcedinidae,2.624,0.496,4.608,163203000.0,244330000.0,511800000.0,380.5,56.94444444444445,10.76388888888889,31.888042203985933,47.739351309105125,62196.26524390244,492600.8064516129,111067.70833333333,0.6896189224704337,0.13035479632063074,1.2110381077529566,428917.21419185284,642128.7779237845,1345072.273324573
68,Eurasian teal,Anseriformes,Anatidae,1.62,0.3163,2.768,167287000.0,163461000.0,373436000.0,284.85,58.52601156069365,11.427023121387284,44.79669876498249,43.7721590848231,103263.58024691358,516791.0211824217,134911.84971098267,0.5687203791469194,0.11104089871862384,0.971739512023872,587281.0251009302,573849.3944181148,1310991.7500438828
69,White-cheeked pintail,Anseriformes,Anatidae,2.246,0.465,3.761,168674000.0,213112000.0,420382000.0,458.4,59.71816006381281,12.36373304972082,40.123982473084006,50.69484421312045,75099.73285841497,458305.376344086,111773.99627758574,0.48996509598603843,0.10143979057591623,0.8204624781849914,367962.4781849913,464904.0139616056,917063.69982548
70,Northern shoveler,Anseriformes,Anatidae,2.017,0.453,3.427,181830000.0,246016000.0,479524000.0,621.15,58.85614239859935,13.218558505981909,37.9188528624219,51.30421000825819,90148.73574615766,543081.6777041942,139925.29909541874,0.32472027690573935,0.07292924414392658,0.5517185864927956,292731.2243419464,396065.36263382435,771993.8823150608
71,American kestrel,Falconiformes,Falconidae,1.315,0.308,2.376,182502000.0,214534000.0,469942000.0,108.02,55.34511784511784,12.962962962962962,38.83500517085087,45.651165462972024,138784.7908745247,696538.9610389611,197787.03703703705,1.2173671542306979,0.28513238289205706,2.1995926680244398,1689520.459174227,1986058.1373819665,4350509.16496945
72,Red-legged seriema,Cariamiformes,Cariamidae,4.546,1.109,8.514,219569000.0,529815000.0,855128000.0,1732.3,53.3944092083627,13.025604886070003,25.67674079202178,61.957391174186796,48299.38407391113,477741.20829576196,100437.8670425182,0.2624256768458119,0.06401893436471742,0.4914853085493274,126749.98556831958,305844.83057207183,493637.3607342839
